INSTANCE;WEIGHT_GR;VALUE_GR;EXECUTION_TIME_GR;WEIGHT_BF;VALUE_BF;EXECUTION_TIME_BF;WEIGHT_BB;VALUE_BB;EXECUTION_TIME_BB;WEIGHT_DP;VALUE_DP;EXECUTION_TIME_DP;WEIGHT_OT;VALUE_OT;EXECUTION_TIME_IP;WEIGHT_IP;VALUE_IP;EXECUTION_TIME_OT
;problem_100_100_1_4_5.txt;3187;4474;0;2572;2929;1014;429;1800;10015;3228;4492;0;3228;4492;16;3228;4492;19
;problem_100_100_1_5_5.txt;4322;4905;15;2644;3018;1014;595;1684;10015;4354;4916;0;4354;4916;23;4354;4916;22
;problem_100_100_2_1_5.txt;881;1067;0;945;965;1014;706;870;10015;946;1137;0;946;1137;6;946;1137;90
;problem_100_100_2_2_5.txt;1642;1923;0;1679;1747;1014;606;775;10015;1679;1960;0;1679;1960;5;1679;1960;29
;problem_100_100_2_3_5.txt;2717;2970;0;2715;2783;1014;756;905;10015;2719;2972;0;2719;2972;11;2719;2972;10
;problem_100_100_2_4_5.txt;3197;3469;0;2655;2731;1014;575;742;10015;3229;3499;0;3230;3499;15;3229;3499;22
;problem_100_100_2_5_5.txt;4319;4568;0;2755;2845;1014;647;811;10015;4358;4600;0;4358;4600;25;4358;4600;42
;problem_100_100_3_1_5.txt;853;1253;0;880;1070;1014;343;583;10015;880;1280;0;880;1280;3;880;1280;32
;problem_100_100_3_2_5.txt;1717;2267;0;1765;2155;1014;311;551;10015;1765;2315;0;1765;2315;8;1765;2315;37
;problem_100_100_3_3_5.txt;2524;3234;0;2473;3023;1014;332;572;10015;2526;3236;0;2526;3236;15;2526;3236;14
;problem_100_100_3_4_5.txt;3079;3909;0;2273;2823;1014;174;404;10015;3143;3973;0;3143;3973;22;3143;3973;50
;problem_100_100_3_5_5.txt;4011;4921;0;2393;2943;1014;327;557;10015;4053;4963;0;4053;4963;29;4053;4963;23
;problem_100_100_4_1_5.txt;862;862;0;880;880;1014;880;880;343;880;880;0;880;880;1;880;880;10
;problem_100_100_4_2_5.txt;1680;1680;0;1765;1765;1014;1405;1405;10015;1765;1765;0;1765;1765;4;1765;1765;10
;problem_100_100_4_3_5.txt;2511;2511;0;2526;2526;1014;1255;1255;10015;2526;2526;0;2526;2526;4;2526;2526;13
;problem_100_100_4_4_5.txt;3119;3119;0;2801;2801;1014;1281;1281;10015;3143;3143;0;3143;3143;9;3143;3143;11
;problem_100_100_4_5_5.txt;4023;4023;0;2460;2460;1014;1186;1186;10015;4053;4053;0;4053;4053;17;4053;4053;17
;problem_100_500_1_1_5.txt;3749;11915;0;3941;6475;1014;1837;8463;10015;3977;12251;0;3977;12251;8;3977;12251;34
;problem_100_500_1_2_5.txt;7812;16700;0;7932;10248;1014;2018;8234;10015;7946;16827;0;7946;16827;26;7946;16827;25
